 Color code, Shape code, Size code, Bud visible code, Label
5,4,1,2,Carnation
5,4,3,2,Carnation
2,1,2,2,Carnation
5,4,2,2,Carnation
4,1,3,2,Carnation
5,1,4,2,Carnation
4,4,3,2,Carnation
1,4,3,1,Carnation
1,3,3,1,Daisy
3,1,2,2,Daisy
6,4,3,2,Daisy
2,3,4,2,Daisy
1,3,3,1,Daisy
1,3,4,1,Daisy
2,4,1,1,Daisy
1,3,2,1,Daisy
5,2,1,1,Tulip
4,3,1,1,Tulip
4,3,1,1,Tulip
5,2,1,1,Tulip
5,2,1,1,Tulip
5,2,1,1,Tulip
1,2,1,1,Tulip
4,2,1,1,Tulip
1,2,1,1,Tulip
1,2,1,1,Tulip
3,2,2,1,Tulip
3,2,1,1,Tulip
4,2,1,1,Tulip
4,2,1,1,Tulip
4,2,1,1,Tulip
5,2,1,1,Tulip
5,2,2,1,Tulip
5,2,1,1,Tulip
5,2,1,1,Tulip
6,4,4,1,Tulip
1,4,2,2,Carnation
1,4,3,2,Carnation
2,4,3,2,Carnation
4,4,3,2,Carnation
4,4,4,1,Carnation
4,4,4,2,Carnation
4,4,2,2,Carnation
5,3,1,2,Carnation
5,4,2,2,Carnation
5,4,3,2,Carnation
1,3,3,2,Daisy
1,3,4,1,Daisy
1,3,2,1,Daisy
1,3,3,1,Daisy
1,3,4,2,Daisy
1,3,4,2,Daisy
1,3,3,1,Daisy
2,3,4,2,Daisy
2,3,1,1,Daisy
6,3,4,2,Daisy
5,4,2,2,Carnation
5,2,2,1,Tulip
4,2,1,1,Tulip
4,4,4,2,Carnation
1,3,4,1,Daisy
6,4,4,2,Carnation
1,3,4,1,Daisy
5,3,1,2,Tulip
1,3,4,1,Daisy
3,2,2,2,Tulip
4,3,2,1,Tulip
4,1,4,2,Carnation
4,4,4,1,Carnation
5,2,1,1,Tulip
3,3,2,1,Tulip
5,4,3,2,Carnation
2,4,4,2,Carnation
4,2,1,1,Tulip
5,4,3,2,Carnation
1,3,4,1,Daisy
1,3,4,1,Daisy
6,3,4,2,Daisy
2,3,4,2,Daisy
6,2,4,1,Tulip
4,4,3,2,Carnation
5,2,2,1,Tulip
2,3,2,1,Daisy
1,4,4,1,Carnation
4,1,4,2,Carnation
1,3,4,1,Daisy
1,2,1,1,Tulip
1,3,4,2,Daisy
4,2,2,2,Tulip
5,4,3,2,Carnation
5,2,2,2,Tulip
5,2,2,1,Tulip
4,4,4,1,Carnation
1,2,2,2,Tulip
5,2,3,2,Carnation
1,4,2,2,Carnation
1,3,4,1,Daisy
6,3,4,2,Daisy
1,3,2,1,Daisy
4,2,3,1,Tulip
6,2,4,1,Tulip
5,2,2,2,Tulip
1,3,1,2,Daisy
5,2,2,2,Tulip
1,3,4,1,Daisy
4,4,4,2,Carnation
3,2,3,2,Tulip
2,3,4,2,Daisy
2,4,3,1,Carnation
1,4,4,1,Carnation
1,3,3,1,Daisy
1,3,4,1,Daisy
5,4,2,2,Carnation
3,2,1,2,Tulip
5,4,3,1,Carnation
2,3,4,1,Daisy
1,3,4,2,Daisy
4,2,3,2,Carnation
5,2,1,2,Tulip
4,2,3,2,Carnation
1,4,1,2,Daisy
5,3,1,1,Tulip
3,2,2,1,Tulip
5,4,4,1,Carnation
5,4,1,2,Carnation
1,4,2,2,Carnation
5,2,2,1,Tulip
4,4,4,1,Carnation
5,2,1,1,Tulip
5,2,2,1,Tulip
1,3,3,1,Daisy
4,1,4,2,Carnation
5,2,2,1,Tulip
1,2,2,1,Tulip
1,3,4,1,Daisy
6,3,4,1,Daisy
1,3,4,1,Daisy
2,4,3,1,Carnation
4,4,3,2,Carnation
2,3,4,2,Daisy
5,4,3,2,Carnation
1,3,2,1,Daisy
6,2,4,1,Tulip
5,4,3,2,Carnation
4,2,3,1,Tulip
3,2,1,1,Tulip
4,4,4,1,Carnation
1,3,3,2,Daisy
1,2,2,1,Tulip
1,3,3,1,Daisy
1,3,4,1,Daisy
5,4,2,1,Carnation
6,1,4,2,Daisy
5,3,2,1,Tulip
2,3,4,2,Daisy
5,2,1,1,Tulip
1,3,4,2,Daisy
2,2,2,1,Tulip
6,1,2,1,Tulip
5,2,1,1,Tulip
5,1,3,2,Carnation
3,2,2,1,Tulip
1,3,4,2,Daisy
5,1,1,1,Tulip
4,1,4,2,Carnation
6,4,3,2,Carnation
2,3,2,1,Daisy
4,4,3,2,Carnation
1,3,3,1,Daisy
3,2,2,1,Tulip
4,4,4,1,Carnation
5,4,2,2,Carnation
1,3,4,1,Daisy
1,3,3,1,Daisy
2,4,3,1,Carnation
1,3,3,1,Daisy
1,3,4,1,Daisy
2,4,3,2,Carnation
5,2,2,1,Tulip
5,4,2,2,Carnation
4,2,1,1,Tulip
5,2,1,1,Tulip
1,1,1,1,Tulip
6,2,4,1,Tulip
3,3,2,1,Tulip
5,2,2,1,Tulip
4,1,2,1,Tulip
6,3,1,1,Tulip
1,2,1,1,Tulip
5,2,1,1,Tulip
5,2,1,1,Tulip
3,3,1,2,Tulip
4,3,1,2,Tulip
6,2,1,2,Tulip
5,1,1,2,Tulip
4,4,4,1,Carnation
4,1,4,1,Carnation
4,4,4,2,Carnation
4,4,3,2,Carnation
4,4,3,2,Carnation
5,4,3,2,Carnation
5,4,3,2,Carnation
2,3,3,2,Carnation
5,4,2,2,Carnation
5,4,1,2,Carnation
1,3,4,1,Daisy
1,2,4,1,Daisy
1,3,3,1,Daisy
1,3,3,1,Daisy
2,3,2,1,Daisy
1,3,1,1,Daisy
1,3,4,2,Daisy
2,3,4,2,Daisy
6,3,4,2,Daisy
1,3,2,2,Daisy
3,2,1,1,Tulip
5,2,1,1,Tulip
4,2,1,1,Tulip
4,2,1,1,Tulip
5,2,1,1,Tulip
1,2,1,1,Tulip
3,2,1,1,Tulip
1,2,1,1,Tulip
6,2,4,1,Tulip
4,2,1,1,Tulip
5,2,1,1,Tulip
5,2,2,1,Tulip
4,4,3,2,Carnation
5,4,2,1,Carnation
4,1,4,2,Carnation
5,4,3,2,Carnation
6,4,2,2,Carnation
4,4,4,1,Carnation
1,4,3,1,Carnation
4,4,4,2,Carnation
5,4,3,2,Carnation
2,4,3,2,Carnation
2,3,4,1,Daisy
2,3,4,2,Daisy
1,3,3,1,Daisy
1,3,4,1,Daisy
1,3,3,1,Daisy
1,3,4,1,Daisy
1,3,4,2,Daisy
1,3,4,1,Daisy
6,3,4,2,Daisy
1,3,3,1,Daisy
