IntroProgramming,DataStructures
35.2,29.1
50.4,74.3
75.2,79.7
56.3,69.3
97.2,89.3
53.4,57.6
84.6,73.8
92.5,80.6
94.15,96.5
70.3,61.6
39.4,71.2
92.05,97.4
62.7,58.4
50.1,66.6
91.25,91.6
48.7,79.5
89.45,76.3
83.25,91.8
50.2,68.6
42,57
78.7,66.8
87.05,94.2
93.65,90.8
77.55,84.2
74.7,58.9
81.95,82.6
47.4,61.9
73.9,84.8
80.15,65.7
73.85,60.9
75.55,80.9
78.4,57.6
98.6,89
75,89
62.9,61.1
75.7,78.6
79,81
71.45,83.9
44.1,73.5
51.4,71.3
93.6,88.8
44.6,61.3
33.2,64.4
61.65,71.3
73.3,73.4
86.75,88.8
81.85,84.5
74.75,59.5
97,81.2
82.8,76.1
51,76.8
43.7,65.6
76.8,64.5
37.2,64
78.5,78.2
